action_type,combined_shot_type,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,label
Layup Shot,Layup,34.0403,7,4,-118.2628,10,3,0,Jan-00,13,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,1
Jump Shot,Jump Shot,33.9113,150,133,-118.1198,8,3,0,Jan-00,59,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,1
Jump Shot,Jump Shot,34.0293,49,15,-118.2208,8,3,0,Jan-00,29,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,VAN,0
Layup Shot,Layup,34.0253,-12,19,-118.2818,4,3,0,Jan-00,29,2,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,
Layup Shot,Layup,34.0403,-4,4,-118.2738,3,3,0,Jan-00,21,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,1
Reverse Dunk Shot,Dunk,34.0403,-4,4,-118.2738,2,3,0,Jan-00,55,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,0
Slam Dunk Shot,Dunk,34.0353,1,9,-118.2688,2,3,0,Jan-00,38,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,1
Jump Shot,Jump Shot,33.9243,121,120,-118.1488,4,4,0,Jan-00,55,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,VAN,1
Jump Shot,Jump Shot,34.0143,-176,30,-118.4458,3,4,0,Jan-00,19,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,VAN,
Layup Shot,Layup,34.0353,1,9,-118.2688,1,4,0,Jan-00,8,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,0
Layup Shot,Layup,34.0353,-12,9,-118.2818,1,4,0,Jan-00,6,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,VAN,0
Jump Shot,Jump Shot,33.9743,24,70,-118.2458,10,1,0,Jan-00,33,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,0
Jump Shot,Jump Shot,34.0483,-189,-4,-118.4588,10,1,0,Jan-00,4,18,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,LAC,0
Jump Shot,Jump Shot,33.7973,-141,247,-118.4108,4,1,0,Jan-00,58,28,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,
Jump Shot,Jump Shot,33.8503,-155,194,-118.4248,2,1,0,Jan-00,33,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,LAC,0
Jump Shot,Jump Shot,33.8163,1,228,-118.2688,11,2,0,Jan-00,26,22,3PT Field Goal,Center(C),Mid-Range,16-24 ft.,LAC,1
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,8,2,0,Jan-00,40,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,1
Slam Dunk Shot,Dunk,34.0443,0,0,-118.2698,4,2,0,Jan-00,5,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,1
Jump Shot,Jump Shot,33.8033,146,241,-118.1238,3,2,0,Jan-00,10,28,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,LAC,
Jump Shot,Jump Shot,33.9363,-33,108,-118.3028,2,2,0,Jan-00,2,11,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,0
Layup Shot,Layup,33.9953,22,49,-118.2478,0,2,0,Jan-00,47,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,1
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,9,3,0,Jan-00,32,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,LAC,0
Driving Layup Shot,Layup,34.0233,56,21,-118.2138,0,3,0,Jan-00,37,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,LAC,0
Running Jump Shot,Jump Shot,34.0183,121,26,-118.1488,0,3,0,Jan-00,1,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,LAC,1
Jump Shot,Jump Shot,33.9533,-10,91,-118.2798,10,4,0,Jan-00,13,9,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,LAC,
Jump Shot,Jump Shot,34.0083,-119,36,-118.3888,9,1,0,Jan-00,6,12,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,
Jump Shot,Jump Shot,33.9873,231,57,-118.0388,8,1,0,Jan-00,17,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,HOU,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,7,1,0,Jan-00,53,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,7,1,0,Jan-00,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,33.9343,159,110,-118.1108,5,1,0,Jan-00,15,19,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,HOU,
Jump Shot,Jump Shot,33.7873,7,257,-118.2628,3,1,0,Jan-00,11,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,HOU,1
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,7,2,0,Jan-00,56,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,33.9873,51,57,-118.2188,2,2,0,Jan-00,40,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,0
Jump Shot,Jump Shot,33.8543,167,190,-118.1028,0,2,0,Jan-00,10,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,HOU,0
Jump Shot,Jump Shot,33.8543,-119,190,-118.3888,11,3,0,Jan-00,2,22,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,1
Jump Shot,Jump Shot,33.9873,16,57,-118.2538,9,3,0,Jan-00,10,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,0
Jump Shot,Jump Shot,33.9343,-84,110,-118.3538,7,3,0,Jan-00,24,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,0
Jump Shot,Jump Shot,34.0023,-71,42,-118.3408,0,3,0,Jan-00,1,8,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,HOU,0
Jump Shot,Jump Shot,33.9973,58,47,-118.2118,11,4,0,Jan-00,49,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,
Jump Shot,Jump Shot,33.9113,30,133,-118.2398,5,4,0,Jan-00,1,13,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,1
Jump Shot,Jump Shot,33.8883,1,156,-118.2688,0,4,0,Jan-00,46,15,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,HOU,0
Jump Shot,Jump Shot,33.8333,132,211,-118.1378,11,1,0,Jan-00,41,24,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,SAS,0
Slam Dunk Shot,Dunk,34.0403,-8,4,-118.2778,10,1,0,Jan-00,59,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,0
Jump Shot,Jump Shot,33.9743,-29,70,-118.2988,9,1,0,Jan-00,48,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,
Turnaround Jump Shot,Jump Shot,33.9953,-124,49,-118.3938,7,1,0,Jan-00,26,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,
Jump Shot,Jump Shot,33.9173,132,127,-118.1378,6,1,0,Jan-00,36,18,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,1
Jump Shot,Jump Shot,33.8563,-29,188,-118.2988,5,1,0,Jan-00,54,19,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SAS,1
Jump Shot,Jump Shot,33.9683,140,76,-118.1298,2,1,0,Jan-00,24,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,1
Turnaround Jump Shot,Jump Shot,34.0443,140,0,-118.1298,1,1,0,Jan-00,48,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,1
Jump Shot,Jump Shot,33.8883,-1,156,-118.2708,1,1,0,Jan-00,25,15,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,1
Jump Shot,Jump Shot,34.0403,-151,4,-118.4208,0,1,0,Jan-00,47,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,1
Jump Shot,Jump Shot,33.9683,110,76,-118.1598,10,2,0,Jan-00,57,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,0
Jump Shot,Jump Shot,33.9573,132,87,-118.1378,9,2,0,Jan-00,37,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,0
Turnaround Jump Shot,Jump Shot,34.0403,132,4,-118.1378,4,2,0,Jan-00,25,13,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,
Jump Shot,Jump Shot,33.7933,-58,251,-118.3278,3,2,0,Jan-00,50,25,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,SAS,1
Jump Shot,Jump Shot,33.8843,-94,160,-118.3638,3,2,0,Jan-00,15,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,1
Jump Shot,Jump Shot,33.8943,-193,150,-118.4628,0,2,0,Jan-00,53,24,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,SAS,0
Jump Shot,Jump Shot,34.0443,140,0,-118.1298,0,2,0,Jan-00,48,14,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,1
Jump Shot,Jump Shot,34.0353,39,9,-118.2308,11,3,0,Jan-00,26,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,0
Jump Shot,Jump Shot,33.8943,24,150,-118.2458,9,3,0,Jan-00,20,15,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,SAS,0
Slam Dunk Shot,Dunk,34.0443,-1,0,-118.2708,7,3,0,Jan-00,53,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,1
Jump Shot,Jump Shot,33.9113,119,133,-118.1508,6,3,0,Jan-00,40,17,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,1
Jump Shot,Jump Shot,33.9073,-101,137,-118.3708,4,3,0,Jan-00,16,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,
Jump Shot,Jump Shot,34.0253,119,19,-118.1508,3,3,0,Jan-00,0,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,0
Jump Shot,Jump Shot,34.0023,-193,42,-118.4628,0,3,0,Jan-00,48,19,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,0
Jump Shot,Jump Shot,33.9893,-166,55,-118.4358,0,3,0,Jan-00,21,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,0
Jump Shot,Jump Shot,33.9283,24,116,-118.2458,10,4,0,Jan-00,39,11,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,0
Jump Shot,Jump Shot,33.8883,-65,156,-118.3348,7,4,0,Jan-00,8,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,0
Turnaround Jump Shot,Jump Shot,34.0183,-166,26,-118.4358,6,4,0,Jan-00,25,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,1
Jump Shot,Jump Shot,33.9683,-58,76,-118.3278,5,4,0,Jan-00,14,9,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,SAS,0
Jump Shot,Jump Shot,33.9743,-37,70,-118.3068,3,4,0,Jan-00,38,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,0
Jump Shot,Jump Shot,33.8943,-151,150,-118.4208,0,4,0,Jan-00,43,21,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,
Jump Shot,Jump Shot,33.8563,-94,188,-118.3638,11,1,0,Jan-00,9,21,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,10,1,0,Jan-00,17,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,0
Reverse Layup Shot,Layup,34.0443,0,0,-118.2698,9,1,0,Jan-00,23,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,0
Tip Shot,Tip Shot,34.0443,0,0,-118.2698,9,1,0,Jan-00,21,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,0
Slam Dunk Shot,Dunk,34.0443,0,0,-118.2698,3,1,0,Jan-00,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,0,1,0,Jan-00,44,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,33.9033,85,141,-118.1848,0,1,0,Jan-00,21,16,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,33.8863,-88,158,-118.3578,8,2,0,Jan-00,50,18,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,1
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,8,2,0,Jan-00,18,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,33.9913,-155,53,-118.4248,2,2,0,Jan-00,40,16,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,
Running Hook Shot,Hook Shot,34.0443,0,0,-118.2698,0,2,0,Jan-00,30,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,33.7683,1,276,-118.2688,0,2,0,Jan-00,4,27,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,HOU,1
Running Jump Shot,Jump Shot,33.9113,-96,133,-118.3658,9,3,0,Jan-00,59,16,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,
Jump Shot,Jump Shot,34.0523,155,-8,-118.1148,8,3,0,Jan-00,38,15,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,HOU,1
Jump Shot,Jump Shot,34.0313,-155,13,-118.4248,5,3,0,Jan-00,18,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,1
Jump Shot,Jump Shot,33.9113,-84,133,-118.3538,4,3,0,Jan-00,34,15,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,0
Jump Shot,Jump Shot,34.0523,-178,-8,-118.4478,3,3,0,Jan-00,51,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,33.9553,16,89,-118.2538,3,3,0,Jan-00,40,9,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,0
Jump Shot,Jump Shot,33.9383,-48,106,-118.3178,3,3,0,Jan-00,33,11,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,HOU,1
Reverse Layup Shot,Layup,34.0443,0,0,-118.2698,2,3,0,Jan-00,56,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,
Jump Shot,Jump Shot,34.0313,-170,13,-118.4398,2,3,0,Jan-00,5,17,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,33.9113,-119,133,-118.3888,0,3,0,Jan-00,14,17,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,HOU,0
Jump Shot,Jump Shot,34.0043,9,40,-118.2608,10,4,0,Jan-00,52,4,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,0
Jump Shot,Jump Shot,33.9623,-84,82,-118.3538,6,4,0,Jan-00,34,11,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,HOU,0
Jump Shot,Jump Shot,33.9853,9,59,-118.2608,4,4,0,Jan-00,57,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,0
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,3,4,0,Jan-00,28,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,1
Running Jump Shot,Jump Shot,33.9853,9,59,-118.2608,1,4,0,Jan-00,38,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,1
Jump Shot,Jump Shot,34.0083,45,36,-118.2248,1,4,0,Jan-00,5,5,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,HOU,
Tip Shot,Tip Shot,34.0443,0,0,-118.2698,1,4,0,Jan-00,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,HOU,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,7,1,0,Jan-00,43,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Jump Shot,Jump Shot,34.0333,237,11,-118.0328,4,1,0,Jan-00,52,23,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,DEN,
Alley Oop Dunk Shot,Dunk,34.0443,0,0,-118.2698,3,1,0,Jan-00,8,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Jump Shot,Jump Shot,34.0483,129,-4,-118.1408,2,1,0,Jan-00,25,12,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DEN,1
Jump Shot,Jump Shot,33.9473,-98,97,-118.3678,0,1,0,Jan-00,48,13,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DEN,1
Jump Shot,Jump Shot,33.9663,167,78,-118.1028,11,2,0,Jan-00,16,18,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DEN,0
Jump Shot,Jump Shot,33.7953,108,249,-118.1618,10,2,0,Jan-00,19,27,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,10,2,0,Jan-00,5,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,
Running Jump Shot,Jump Shot,33.8693,100,175,-118.1698,9,2,0,Jan-00,7,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,1
Jump Shot,Jump Shot,33.8753,7,169,-118.2628,4,2,0,Jan-00,14,16,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,DEN,
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,3,2,0,Jan-00,22,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,
Layup Shot,Layup,34.0443,0,0,-118.2698,1,2,0,Jan-00,54,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Driving Layup Shot,Layup,34.0443,0,0,-118.2698,0,2,0,Jan-00,28,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
Tip Shot,Tip Shot,34.0443,0,0,-118.2698,0,2,0,Jan-00,26,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,
Jump Shot,Jump Shot,33.8753,115,169,-118.1548,10,3,0,Jan-00,23,20,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DEN,0
Jump Shot,Jump Shot,33.9723,1,72,-118.2688,5,3,0,Jan-00,23,7,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DEN,0
Reverse Dunk Shot,Dunk,34.0443,0,0,-118.2698,3,3,0,Jan-00,53,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,
Driving Dunk Shot,Dunk,34.0443,0,0,-118.2698,0,3,0,Jan-00,37,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Jump Shot,Jump Shot,33.8143,113,230,-118.1568,11,4,0,Jan-00,43,25,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DEN,1
Layup Shot,Layup,34.0443,0,0,-118.2698,10,4,0,Jan-00,28,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Slam Dunk Shot,Dunk,34.0443,0,0,-118.2698,10,4,0,Jan-00,11,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,1
Layup Shot,Layup,34.0443,0,0,-118.2698,5,4,0,Jan-00,37,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DEN,0
